@relation food

@attribute Service_type {Fund,Loan,CD,Bank_Account,Mortgage}
@attribute Customer {Student,Business,Other,Doctor,Professional}
@attribute Monthly_fee real
@attribute Advertisement_budget real
@attribute Size {Small,Large,Medium}
@attribute Promotion {Web&Email,Full,Web,None}
@attribute Interest_rate real
@attribute Period real
@attribute Label {0,1}

@data
Mortgage,Other,5.46,3.98,Small,Web,3,53,1
Fund,Other,5.8,4.93,Small,Web,3,10,1
Fund,Other,2.67,5.08,Small,Web&Email,3,20,1
Fund,Professional,4.39,3.23,Small,Web&Email,5,12,1
Fund,Professional,3.98,3.22,Small,Web&Email,5,24,1
Fund,Professional,4.11,4.34,Small,Web&Email,5,12,1
Fund,Other,2.99,7.14,Small,Web,3,7,1
CD,Other,3,5.17,Small,Web,3,56,1
CD,Doctor,4.28,3.29,Small,None,3,51,1
CD,Doctor,4.29,5.28,Small,None,4,54,1
CD,Doctor,3.75,5.39,Small,None,4,47,1
CD,Professional,4.9,5.18,Small,Full,4,58,1
CD,Professional,3.36,3.16,Small,Full,5,54,1
Loan,Professional,3.82,3.5,Small,Web&Email,5,54,1
Loan,Doctor,4.72,5.82,Small,Web&Email,5,49,1
Loan,Doctor,4.3,4.77,Small,Web&Email,6,51,1
Loan,Doctor,5.55,3.37,Small,Web,6,47,1
Loan,Doctor,3.96,4.68,Small,None,3,49,1
