@relation financial_service

@attribute Type {student,engineer,librarian,professor,doctor}
@attribute LifeStyle {spend<<saving,spend<saving,spend>saving,spend>>saving}
@attribute Vacation real
@attribute eCredit real
@attribute salary real
@attribute property real
@attribute label {C1,C2,C3,C4,C5}

@data
doctor,spend<saving,59,53,19.9,4.2836,C4
doctor,spend<saving,38,88,20.13,2.8193,C4
doctor,spend>saving,26,60,20.06,4.131,C4
doctor,spend>saving,37,63,20.37,5.7345,C4
student,spend>>saving,32,66,20.02,3.5865,C4
student,spend<<saving,23,68,21.37,2.2667,C4
student,spend>saving,36,43,20.42,3.0437,C4
student,spend<saving,25,41,20.07,4.3556,C4
student,spend>saving,39,56,20.29,2.6881,C4
student,spend<saving,49,60,20.47,4.9717,C4
student,spend>>saving,64,84,21.78,3.8456,C4
student,spend<<saving,45,57,20.26,3.7188,C4
professor,spend>>saving,44,44,21.51,2.6675,C4
professor,spend<<saving,51,16,20.32,2.1608,C4
professor,spend>>saving,44,39,20.8,1.7196,C4
professor,spend<<saving,53,35,20.58,2.5493,C4
professor,spend>saving,38,25,21.78,0.008,C4
professor,spend<saving,41,54,19.06,3.0132,C4
professor,spend>saving,33,50,19.08,1.7395,C4
professor,spend<saving,32,38,20.38,1.4075,C4
professor,spend>>saving,34,30,20.91,2.4095,C4
librarian,spend<<saving,48,35,20.15,2.4436,C4
librarian,spend>>saving,41,37,19.8,2.8195,C4
librarian,spend<<saving,22,24,21.49,2.7344,C4
librarian,spend>>saving,58,27,19.38,3.0286,C4
librarian,spend<<saving,47,45,20.81,1.5505,C4
librarian,spend>saving,25,40,21.93,1.0924,C4
librarian,spend<saving,36,33,20.4,1.2062,C4
librarian,spend>saving,42,22,19.14,1.5377,C4
librarian,spend<saving,32,25,22.43,3.0428,C4
engineer,spend>>saving,39,62,19.16,3.9847,C4
engineer,spend<<saving,43,69,20.28,3.5298,C4
engineer,spend>>saving,50,55,20.82,3.0217,C4
engineer,spend<<saving,26,49,21.23,4.0693,C4
engineer,spend>>saving,30,44,19.94,4.8997,C4
engineer,spend<<saving,34,72,20.65,5.2348,C4
engineer,spend>saving,42,65,18.23,2.8972,C4
engineer,spend<saving,53,76,20.06,4.4073,C4
engineer,spend>saving,59,55,19.24,2.5725,C4
engineer,spend<saving,47,70,18.31,4.8945,C4
engineer,spend>>saving,48,63,21.1,3.6149,C4
engineer,spend<<saving,39,51,21.46,3.8187,C4
professor,spend>saving,48,5,20.39,1.7536,C5
professor,spend>saving,51,5,27.6,2.4567,C5
professor,spend>saving,50,3,23.12,2.4937,C5
professor,spend>saving,51,3,29.52,2.3271,C5
professor,spend>saving,50,4,18.8,2.9932,C5
professor,spend>saving,50,6,19.76,2.8216,C5
professor,spend>saving,49,7,28.84,3.96,C5
professor,spend>saving,49,5,19.42,1.8757,C5
professor,spend>saving,50,3,16.31,2.5786,C5
professor,spend>>saving,49,5,23.51,2.7638,C5
professor,spend>>saving,50,5,22.71,3.3358,C5
professor,spend>>saving,50,3,19.59,2.9,C5
professor,spend>>saving,50,3,18.03,2.9419,C5
professor,spend>>saving,51,6,26.76,2.3879,C5
professor,spend>>saving,49,5,31.55,2.6485,C5
professor,spend>>saving,49,3,31.06,2.2395,C5
professor,spend>>saving,50,5,31.2,2.4223,C5
professor,spend>>saving,50,4,20.92,2.4508,C5
engineer,spend>saving,50,18,24.01,0.738,C5
engineer,spend>saving,50,18,21.52,1.6871,C5
engineer,spend>saving,51,22,21.99,1.358,C5
engineer,spend>saving,49,22,20.27,1.2342,C5
engineer,spend>saving,50,22,21.22,0.534,C5
engineer,spend>saving,51,26,25.94,0.6948,C5
engineer,spend>saving,50,24,23.87,1.5738,C5
engineer,spend>saving,52,14,16.54,1.5569,C5
engineer,spend>saving,50,22,23.09,1.0051,C5
engineer,spend>>saving,49,21,23.89,1.5087,C5
engineer,spend>>saving,51,20,13.68,1.5669,C5
engineer,spend>>saving,49,17,18.79,2.0525,C5
engineer,spend>>saving,50,23,20.17,2.3291,C5
engineer,spend>>saving,47,23,22.78,1.041,C5
engineer,spend>>saving,51,23,25.56,2.5066,C5
engineer,spend>>saving,51,17,15.63,1.6754,C5
engineer,spend>>saving,51,13,20.71,1.4585,C5
engineer,spend>>saving,49,17,19.18,2.4251,C5
